ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-01-07T15:13:23Z,ios,392906,US,174.206.105.85,Get Excited,Miami Mass Choir,It's Praying Time,spotify:track:03NKOSRUE9jZqRYji2nt66,,,,,,,,playbtn,trackdone,True,False,False,1704639374.0,False
2024-01-07T15:13:49Z,ios,24216,US,174.206.105.85,Yes,Shekinah Glory Ministry,A Praise And Worship Celebration,spotify:track:2cscHbVayBbExx5Ymd8Zam,,,,,,,,trackdone,fwdbtn,True,True,False,1704640404.0,False
2024-01-07T15:14:19Z,ios,30023,US,174.206.105.85,So Good,Gods Property,God's Property from Kirk Franklin's Nu Nation,spotify:track:1nGkCLZO381DRr5R2w3Oq2,,,,,,,,fwdbtn,fwdbtn,True,True,False,1704640429.0,False
2024-01-07T15:14:33Z,ios,14094,US,174.206.105.85,For Every Mountain - Live,Kurt Carr & The Kurt Carr Singers,Setlist: The Very Best of Kurt Carr & The Kurt Carr Singers,spotify:track:6v6qYTGVq8zTgHX98SJ7Es,,,,,,,,fwdbtn,fwdbtn,True,True,False,1704640459.0,False
2024-01-07T15:14:37Z,ios,4086,US,174.206.105.85,Your Grace And Mercy,Mississippi Mass Choir,It Remains To Be Seen,spotify:track:2h4UqKYYFqSYMVoOX5wgy6,,,,,,,,fwdbtn,fwdbtn,True,True,False,1704640473.0,False
2024-01-07T15:19:58Z,ios,321493,US,174.206.105.85,All In His Hand,The Florida Mass Choir,Live In Miami Fla,spotify:track:0r0SZMyZaSPFsQu9nXCovb,,,,,,,,fwdbtn,trackdone,True,False,False,1704640477.0,False
2024-01-07T15:23:16Z,ios,198106,US,174.206.105.85,I Gotta Praise - Live,Smokie Norful,How I Got Over...Songs That Carried Us,spotify:track:5HNSZWy8IkvRDhhL1Eyluv,,,,,,,,trackdone,trackdone,True,False,False,1704640799.0,False
2024-01-07T15:24:15Z,ios,27007,US,174.206.105.85,The Storm Is Over Now,Kirk Franklin,The Essential Kirk Franklin,spotify:track:0NenMqC4wSsdPa0k4YDc7p,,,,,,,,trackdone,fwdbtn,True,True,False,1704641028.0,False
2024-01-07T16:47:59Z,ios,278573,US,174.206.105.85,I Am Blessed,Reed's Temple Choir,One Way,spotify:track:3sw1jgInk0rTVUUR0vIq0p,,,,,,,,fwdbtn,trackdone,True,False,False,1704641056.0,False
2024-01-07T16:48:46Z,ios,35903,US,174.206.105.85,He's Able,L.A. Mass Choir,The Mass Hits!,spotify:track:7DqmI4lPgveRSZ67FlS88A,,,,,,,,trackdone,endplay,True,True,False,1704646080.0,False
2024-01-07T16:50:50Z,ios,106506,US,174.206.105.85,I Worship You Almighty God,Charity Gayle,Endless Praise,spotify:track:2H5UMcqLJrp1FKNDU1i88e,,,,,,,,playbtn,trackdone,True,False,False,1704646127.0,False
2024-01-07T16:53:55Z,ios,184883,US,174.206.105.85,The Love Of Jesus,Mack Brock,The Love Of Jesus,spotify:track:4k8bSAKFhD0yatglhMe83j,,,,,,,,trackdone,trackdone,True,False,False,1704646251.0,False
2024-01-07T16:55:22Z,ios,70281,US,174.206.96.192,Reckless Love / Even If,Mass Anthem,Songs We Wish We Wrote,spotify:track:71jqd6lELdjeahZWbh4faC,,,,,,,,trackdone,logout,True,False,False,1704646436.0,False
2025-10-30T12:37:45Z,windows,30179,US,150.174.50.9,GOD IS GOOD (LOFI),Forrest Frank,JESUS LOFI VOLUME ONE,spotify:track:4GopMbZvOHYq6W5w985Dsk,,,,,,,,remote,unexpected-exit,False,False,False,1761827834.0,False
2025-10-30T13:35:10Z,windows,119775,US,150.174.50.9,Moroccan Mint,yosev,Moroccan Mint,spotify:track:6ZqerXOL0kNew8Lr0kV64m,,,,,,,,remote,trackdone,False,False,False,1761831189.0,False
2025-10-30T13:37:09Z,windows,118356,US,150.174.50.9,Majestic,Screen Jazzmaster,Majestic,spotify:track:6cXOWgV1mAhIl1zF0fUe9y,,,,,,,,trackdone,trackdone,False,False,False,1761831310.0,False
2025-10-30T13:39:17Z,windows,128379,US,150.174.50.9,Chilldays,Bequem,Chilldays,spotify:track:4gfN9LjHUny5viWlFCfF0n,,,,,,,,trackdone,trackdone,False,False,False,1761831429.0,False
2025-10-30T13:41:27Z,windows,129137,US,150.174.50.9,Golden Haze,Dani Catalá,Golden Haze,spotify:track:6Ymcr6l254Z7K4du81JLJA,,,,,,,,trackdone,trackdone,False,False,False,1761831557.0,False
2025-10-30T13:44:29Z,windows,182119,US,150.174.50.9,A Beat to Chill To,Mi Ka,"The Jazz Hop Conspiracy, Vol. 1",spotify:track:51dPgm96cBeY9jh9CtlOud,,,,,,,,trackdone,trackdone,False,False,False,1761831687.0,False
2025-10-30T13:46:43Z,windows,133529,US,150.174.50.9,Circadian Rhythms,Lamar Azul,Circadian Rhythms,spotify:track:4hVzPNPAVI9Fmbhsaq2Gbd,,,,,,,,trackdone,trackdone,False,False,False,1761831870.0,False
2025-10-30T13:48:32Z,windows,108797,US,150.174.50.9,Birds Eye,Vincent Rayn,Birds Eye,spotify:track:7yhPe48qrUGfHPve8SlCsu,,,,,,,,trackdone,trackdone,False,False,False,1761832003.0,False
2025-10-30T13:50:32Z,windows,119836,US,150.174.50.9,Jarritos,Just Steezy Things,Jarritos,spotify:track:3P2dir3JiXJ18JBLeS8cKy,,,,,,,,trackdone,trackdone,False,False,False,1761832112.0,False
2025-10-30T13:52:03Z,windows,90257,US,150.174.50.9,New Hope,paris91,New Hope,spotify:track:4y3oPxhwxDKpCPISuFY3HL,,,,,,,,trackdone,trackdone,False,False,False,1761832233.0,False
2025-10-30T13:54:36Z,windows,152566,US,150.174.50.9,granadilla,B-Side,Fruitful,spotify:track:2PIPmnGTu2wPBJFnBxej2Z,,,,,,,,trackdone,trackdone,False,False,False,1761832323.0,False
2025-10-30T13:57:21Z,windows,164725,US,150.174.50.9,Time 4 Time,Unwind Project,Time 4 Time,spotify:track:4exkfJ2JVCz6cFjXQixprk,,,,,,,,trackdone,trackdone,False,False,False,1761832476.0,False
2025-10-30T13:59:32Z,windows,130839,US,150.174.50.9,Less Is More,Ghostnaut,Less Is More,spotify:track:7nWmfNrpQNE3YYBTO9omAl,,,,,,,,trackdone,trackdone,False,False,False,1761832642.0,False
2025-10-30T14:01:33Z,windows,119851,US,150.174.50.9,For Your Love,Screen Jazzmaster,For Your Love,spotify:track:53I80XJhp46fOGkk6E6iIp,,,,,,,,trackdone,trackdone,False,False,False,1761832772.0,False
2025-10-30T14:01:50Z,windows,17083,US,150.174.50.9,Sunshine Coming,Bequem,Sunshine Coming,spotify:track:2zBJjt5rq1CQ0GDNV8oE2Q,,,,,,,,trackdone,fwdbtn,False,True,False,1761832893.0,False
2025-10-30T14:04:09Z,windows,138353,US,150.174.50.9,Slipping Slowly,Louk,Slipping Slowly,spotify:track:3utuOUxyj2ur3Hh2b1Hi9W,,,,,,,,fwdbtn,trackdone,False,False,False,1761832910.0,False
2025-10-30T14:04:32Z,windows,22331,US,150.174.50.9,Naturally Grounded,Birds Of The West,Naturally Grounded,spotify:track:5sVBZQrQNM3SQbtbt6ItrG,,,,,,,,trackdone,endplay,False,True,False,1761833049.0,False
2025-10-30T14:06:22Z,windows,109595,US,150.174.50.9,Sweetheart,MARKUS REYNOLS,Wild Mellow,spotify:track:3owwji2VCBk7A6rVffSjZT,,,,,,,,playbtn,trackdone,True,False,False,1761833072.0,False
2025-10-30T14:07:18Z,windows,55803,US,150.174.50.9,lost note,vini,quiet side,spotify:track:5JUt36eoCl7FusmtRX3Hui,,,,,,,,trackdone,endplay,True,True,False,1761833182.0,False
2025-10-30T14:10:24Z,windows,184845,US,150.174.50.9,You Called Me Home,Christian LoFi,Home with You,spotify:track:67hsyscxr1WaT0cLDJD70k,,,,,,,,playbtn,trackdone,True,False,False,1761833238.0,False
2025-10-30T14:13:19Z,windows,174412,US,150.174.50.9,Hold Me Through the Night,Christian LoFi,Abide with Me,spotify:track:3l4eV8kOx5cNAtv3G9rCCx,,,,,,,,trackdone,trackdone,True,False,False,1761833424.0,False
2025-10-30T14:15:52Z,windows,153338,US,150.174.50.9,I Want Your Love,Jackson Childs,Hand In Mine,spotify:track:6ePmvaWF45w6Nhe8bmfAQ4,,,,,,,,trackdone,trackdone,True,False,False,1761833599.0,False
2025-10-30T14:17:11Z,windows,77648,US,150.174.50.9,Still Waters,Christian LoFi,Abide with Me,spotify:track:6jLqpnKHEK1lCZ9uWQJDo9,,,,,,,,trackdone,endplay,True,True,False,1761833752.0,False
2025-10-30T14:17:32Z,windows,20559,US,150.174.50.9,Glory (The End),Jackie Hill Perry,Blameless,spotify:track:65DPtwpFZzLXn2rqelHbhc,,,,,,,,playbtn,endplay,True,True,False,1761833831.0,False
2025-10-30T14:20:50Z,windows,198217,US,150.174.50.9,Erase Me,Lecrae,Reconstruction,spotify:track:3VJySiqnOFgUWvDLqaD95u,,,,,,,,playbtn,trackdone,True,False,False,1761833852.0,False
2025-10-30T14:22:48Z,windows,116799,US,150.174.50.9,LIFE,Lecrae,Reconstruction,spotify:track:20HMOhwO8fDgjqYBqEFVyI,,,,,,,,trackdone,trackdone,True,False,False,1761834051.0,False
2025-10-30T14:25:34Z,windows,165839,US,150.174.50.9,Cross The Ocean,Lecrae,Reconstruction,spotify:track:6ogagbJl5mt0cmZ5pJYdOJ,,,,,,,,trackdone,trackdone,True,False,False,1761834168.0,False
2025-10-30T14:29:13Z,windows,218555,US,150.174.50.9,Holidaze,Lecrae,Reconstruction,spotify:track:6jQvuMjEfQs0xPT1d1PbA1,,,,,,,,trackdone,trackdone,True,False,False,1761834334.0,False
2025-10-30T14:32:40Z,windows,207016,US,150.174.50.9,Bless You,Lecrae,Reconstruction,spotify:track:1STpTJMEAxCnMBvBBlFemD,,,,,,,,trackdone,trackdone,True,False,False,1761834553.0,False
2025-10-30T14:35:08Z,windows,147614,US,150.174.50.9,Mad At Today,Lecrae,Reconstruction,spotify:track:75al8znZHaPzDDI0SJnKw3,,,,,,,,trackdone,trackdone,True,False,False,1761834760.0,False
2025-10-30T14:37:37Z,windows,148208,US,150.174.50.9,My Story,Lecrae,Reconstruction,spotify:track:4n9VRmpFICrqPS8Ya8dKcI,,,,,,,,trackdone,trackdone,True,False,False,1761834908.0,False
2025-10-30T14:39:07Z,windows,90375,US,150.174.50.9,Better Sober,Lecrae,Reconstruction,spotify:track:6KGZr7QHHthQmUCYmuQtvA,,,,,,,,trackdone,endplay,True,True,False,1761835057.0,False
2025-10-30T14:39:25Z,windows,8212,US,150.174.50.9,Yo Voy (feat. Daddy Yankee),Zion & Lennox,Motivando a la Yal,spotify:track:5gflgO9EPbIBf16n5TKnQS,,,,,,,,trackdone,fwdbtn,False,True,False,1761835157.0,False
2025-10-30T14:39:29Z,windows,2885,US,150.174.50.9,She Doesn't Mind,Sean Paul,Tomahawk Technique,spotify:track:1zZIGnXIcDKU8QIUkR20nK,,,,,,,,fwdbtn,fwdbtn,False,True,False,1761835165.0,False
2025-10-30T14:39:54Z,windows,24421,US,150.174.50.9,Se Preparó,Ozuna,Odisea,spotify:track:1m69ELEgE6k5ZWsap40ozt,,,,,,,,fwdbtn,fwdbtn,False,True,False,1761835169.0,False
2025-10-30T14:39:55Z,windows,1,US,150.174.50.9,Punto y Aparte,Tego Calderón,Rompe La Discoteca,spotify:track:388YhDYxPvaDIZQHWqpB4E,,,,,,,,fwdbtn,fwdbtn,False,True,False,1761835194.0,False
2025-10-30T14:40:04Z,windows,1853,US,150.174.50.9,Promiscuous,Nelly Furtado,Loose,spotify:track:2gam98EZKrF9XuOkU13ApN,,,,,,,,fwdbtn,endplay,False,True,False,1761835195.0,False
2025-10-30T14:40:08Z,windows,2649,US,150.174.50.9,Reconstruction,Lecrae,Reconstruction,spotify:track:2GaG6BK2TUlz7LXQtHKSdl,,,,,,,,playbtn,fwdbtn,False,True,False,1761835204.0,False
2025-10-30T14:42:33Z,windows,144536,US,150.174.50.9,Tell No Lie,Lecrae,Reconstruction,spotify:track:3BrA96DTevYkkGUCrgRvhy,,,,,,,,fwdbtn,trackdone,True,False,False,1761835208.0,False
2025-10-30T14:44:52Z,windows,138704,US,150.174.50.9,H2O,Lecrae,Reconstruction,spotify:track:3xs9GtrvScwTkS32ah63uq,,,,,,,,trackdone,trackdone,True,False,False,1761835353.0,False
2025-10-30T14:47:25Z,windows,152428,US,150.174.50.9,Too Much,Lecrae,Reconstruction,spotify:track:7FLloSlV8SfMmg78NOI47g,,,,,,,,trackdone,trackdone,True,False,False,1761835492.0,False
2025-10-30T14:51:07Z,windows,221683,US,150.174.50.9,Headphones,Lecrae,Reconstruction,spotify:track:7pMJ2uIwF5C04AY5ZNdWOF,,,,,,,,trackdone,trackdone,True,False,False,1761835645.0,False
2025-10-30T14:54:33Z,windows,205721,US,150.174.50.9,There For You,Lecrae,Reconstruction,spotify:track:6SfQs8PfxneZYURHQaC2Qe,,,,,,,,trackdone,trackdone,True,False,False,1761835868.0,False
2025-10-30T14:57:07Z,windows,153044,US,150.174.50.9,Die For The Party,Lecrae,Reconstruction,spotify:track:5zhDUabUsfiDi8E4v2Rc1B,,,,,,,,trackdone,trackdone,True,False,False,1761836073.0,False
2025-10-30T15:00:03Z,windows,175788,US,150.174.50.9,Still Here,Lecrae,Reconstruction,spotify:track:7m0iB86deRY9Xy8LtiL1ts,,,,,,,,trackdone,trackdone,True,False,False,1761836227.0,False
2025-10-30T15:00:27Z,windows,23027,US,150.174.50.9,Better Sober,Lecrae,Reconstruction,spotify:track:6KGZr7QHHthQmUCYmuQtvA,,,,,,,,trackdone,endplay,True,True,False,1761836403.0,False
2025-10-30T15:03:03Z,windows,155879,US,150.174.50.9,WHO?!,Anike,"Good News, No Gossip",spotify:track:0aSDumRGeNcUYnVAtJQKhe,,,,,,,,playbtn,trackdone,False,False,False,1761836427.0,False
2025-10-30T15:03:56Z,windows,52329,US,150.174.50.9,Hotline: Lecrae — New (0:52),Anike,"Good News, No Gossip",spotify:track:6oTjh4AlFvZ4eLZHdmIEaM,,,,,,,,trackdone,trackdone,False,False,False,1761836583.0,False
2025-10-30T15:06:40Z,windows,164179,US,150.174.50.9,God Is With Her!,Anike,"Good News, No Gossip",spotify:track:7g6OjzMJn1v6Eilf4kDs3z,,,,,,,,trackdone,trackdone,False,False,False,1761836636.0,False
2025-10-30T15:07:31Z,windows,50559,US,150.174.50.9,Hotline: HLY GRL — Saved (0:51),Anike,"Good News, No Gossip",spotify:track:15omkDmV1fQ3xxuM4dTY12,,,,,,,,trackdone,trackdone,False,False,False,1761836801.0,False
2025-10-30T15:10:32Z,windows,180140,US,150.174.50.9,HE'S GOOD (Everyday),Anike,"Good News, No Gossip",spotify:track:5vxJlv615sN1ilcgk5BLRO,,,,,,,,trackdone,trackdone,False,False,False,1761836852.0,False
2025-10-30T15:11:07Z,windows,35087,US,150.174.50.9,Hotline: 1K Phew — New (0:35),Anike,"Good News, No Gossip",spotify:track:4SoIZnNGSQEbWixDFQGf50,,,,,,,,trackdone,trackdone,False,False,False,1761837032.0,False
2025-10-30T15:14:42Z,windows,213816,US,150.174.50.9,THAT'S GOD,Anike,"Good News, No Gossip",spotify:track:6rytCjEYfPmv0jvilklpi9,,,,,,,,trackdone,trackdone,False,False,False,1761837067.0,False
2025-10-30T15:18:18Z,windows,216406,US,150.174.50.9,God Will Make A Way,Anike,"Good News, No Gossip",spotify:track:1Hk5zSa1mEIr5bl8P7wFWE,,,,,,,,trackdone,trackdone,False,False,False,1761837282.0,False
2025-10-30T15:19:49Z,windows,90431,US,150.174.50.9,Hotline: The Husbands — Saved (1:30),Anike,"Good News, No Gossip",spotify:track:0whRTObkqeD0bgcJ3jqoHJ,,,,,,,,trackdone,trackdone,False,False,False,1761837499.0,False
2025-10-30T15:22:12Z,windows,142090,US,150.174.50.9,MOVE,Anike,Anike,spotify:track:5C0SNK41XsFPQqL67dvcNS,,,,,,,,trackdone,trackdone,False,False,False,1761837589.0,False
2025-10-30T15:25:30Z,windows,197454,US,150.174.50.9,No Problem,Dante' pride,No Problem,spotify:track:3mbIcfHkyJmQgGbwxOVbui,,,,,,,,trackdone,trackdone,False,False,False,1761837732.0,False
2025-10-30T15:28:33Z,windows,183081,US,150.174.50.9,HI-C,HOLY GIRLXHLY GRL,HI-C,spotify:track:6DmLU5yyCcwCS5MgHbZq78,,,,,,,,trackdone,trackdone,False,False,False,1761837930.0,False
2025-10-30T15:31:11Z,windows,157372,US,150.174.50.9,Brick for Brick,Lecrae,Reconstruction,spotify:track:1xSwlbm4gPrU9jhPJ5k82h,,,,,,,,trackdone,trackdone,False,False,False,1761838113.0,False
2025-10-30T15:34:16Z,windows,184870,US,150.174.50.9,REVIVAL!,nobigdyl.,REVIVAL!,spotify:track:2Cy8awXmK3RJvwZrDHIqOj,,,,,,,,trackdone,trackdone,False,False,False,1761838271.0,False
2025-10-30T15:37:53Z,windows,216207,US,150.174.50.9,Good 2 Me,Evvie McKinney,It Ain't Over,spotify:track:2nHuLOlcmokrnm5hDaF2oB,,,,,,,,trackdone,trackdone,False,False,False,1761838456.0,False
2025-10-30T15:40:43Z,windows,169580,US,150.174.50.9,YAHWEH,Anike,Anike,spotify:track:2X8by6m44p9dpivzyzB14p,,,,,,,,trackdone,trackdone,False,False,False,1761838673.0,False
2025-10-30T15:43:18Z,windows,154437,US,150.174.50.9,YAH,xander.,Fifth Hour Fire,spotify:track:1fhejtrdVabCphXSxMNyi9,,,,,,,,trackdone,trackdone,False,False,False,1761838843.0,False
2025-10-30T15:45:13Z,windows,114625,US,150.174.50.9,SURVIVAL,Hulvey,HE WILL RETURN,spotify:track:7hLPf08ntd50rs7R55H9rz,,,,,,,,trackdone,trackdone,False,False,False,1761838998.0,False
2025-10-30T17:45:11Z,windows,18379,US,150.174.50.9,Southern Delight,MEEZO!,Southern Delight,spotify:track:1zowF1c6YgxcoGvO5FXyeC,,,,,,,,trackdone,endplay,False,True,False,1761839113.0,False
2025-10-30T17:49:03Z,windows,231432,US,150.174.50.9,Deep,Charlene Nash,&Chill,spotify:track:2tdD9SRdzI2zJHVNlUfY93,,,,,,,,playbtn,trackdone,True,False,False,1761846311.0,False
2025-10-30T17:52:13Z,windows,189010,US,150.174.50.9,Real Love,Charlene Nash,Real Love,spotify:track:4vYlw8Jih55aR14lRiZh7w,,,,,,,,trackdone,trackdone,True,False,False,1761846543.0,False
2025-10-30T17:56:49Z,windows,276077,US,150.174.50.9,Where I Wanna Be,Charlene Nash,@iamcharlenenash,spotify:track:1lWZAjlStzvNWMw362GitL,,,,,,,,trackdone,trackdone,True,False,False,1761846733.0,False
2025-10-30T18:02:03Z,windows,312590,US,150.174.50.9,Love Me Like,Charlene Nash,@iamcharlenenash,spotify:track:2OmK5mWTMKTmPdIrNRpMuu,,,,,,,,trackdone,trackdone,True,False,False,1761847010.0,False
2025-10-30T18:05:53Z,windows,230589,US,150.174.50.9,Snow White,Charlene Nash,Snow White,spotify:track:6roek1DnPiZlDOaWGfRJIA,,,,,,,,trackdone,trackdone,True,False,False,1761847323.0,False
2025-10-30T18:09:00Z,windows,186612,US,150.174.50.9,Melancholy,Charlene Nash,Melancholy,spotify:track:2iH7pXTHU7LFFHdTHIb9Yn,,,,,,,,trackdone,trackdone,True,False,False,1761847553.0,False
2025-10-30T18:12:48Z,windows,226867,US,150.174.50.9,Hide me,Charlene Nash,@iamcharlenenash,spotify:track:1WaGxmXNK2fnsKVr0vWQf1,,,,,,,,trackdone,trackdone,True,False,False,1761847740.0,False
2025-10-30T18:16:58Z,windows,249442,US,150.174.50.9,Overdose (Version 2),Charlene Nash,Asylum,spotify:track:3qO8NbDAzS8Oo6QECqvL78,,,,,,,,trackdone,trackdone,True,False,False,1761847968.0,False
2025-10-30T18:21:04Z,windows,246432,US,150.174.50.9,Breathe,Charlene Nash,Breathe,spotify:track:6Rw6V32aYRJOGuikdALdsh,,,,,,,,trackdone,trackdone,True,False,False,1761848218.0,False
2025-10-30T18:23:48Z,windows,163032,US,150.174.50.9,Answer,Charlene Nash,&Chill,spotify:track:67xBbQmjTtsiplDYGJWxNN,,,,,,,,trackdone,trackdone,True,False,False,1761848465.0,False
2025-10-30T18:26:53Z,windows,184594,US,150.174.50.9,Only One,Charlene Nash,Asylum,spotify:track:4p4T2hO0kXfzG77x4Lwnnx,,,,,,,,trackdone,trackdone,True,False,False,1761848628.0,False
2025-10-30T18:31:01Z,windows,247436,US,150.174.50.9,Wrong Time,Ruslan,Indie Jones II,spotify:track:0unLzxbVaAwafsrOkGsbWn,,,,,,,,trackdone,trackdone,True,False,False,1761848813.0,False
2025-10-30T18:35:47Z,windows,286119,US,150.174.50.9,Know It's Real (feat. John Givez & Charlene Nash),Shopé,Know It's Real: Truth Be Told,spotify:track:6nnxNiMwg3fYitU07ueRbG,,,,,,,,trackdone,trackdone,True,False,False,1761849061.0,False
2025-10-30T18:49:09Z,windows,280886,US,150.174.50.9,I Just Wanna Be Like,Charlene Nash,&Chill,spotify:track:6qYdHXMkj4IKJx33HMvqd1,,,,,,,,trackdone,trackdone,True,False,False,1761849347.0,False
2025-10-30T18:53:06Z,windows,236826,US,150.174.50.9,Good Life,Dru Bex,The Good Album,spotify:track:10LrLGZdgKUuGhQclh78uG,,,,,,,,trackdone,trackdone,True,False,False,1761850149.0,False
2025-10-30T18:56:37Z,windows,210921,US,150.174.50.9,Hold On,Charlene Nash,Asylum,spotify:track:2hP1nD5Vt5ezUkCflsdwee,,,,,,,,trackdone,trackdone,True,False,False,1761850386.0,False
2025-10-30T18:59:53Z,windows,195909,US,150.174.50.9,Window,Charlene Nash,@iamcharlenenash,spotify:track:0RKJ416se2oBVXkbY5d8Tp,,,,,,,,trackdone,trackdone,True,False,False,1761850597.0,False
2025-10-30T19:04:01Z,windows,247423,US,150.174.50.9,Play,Charlene Nash,Asylum,spotify:track:0jVFKuCJ90E4t6hQhuuoRn,,,,,,,,trackdone,trackdone,True,False,False,1761850794.0,False
2025-10-30T19:07:38Z,windows,216520,US,150.174.50.9,xxRisk,Charlene Nash,xxRisk,spotify:track:0yfhnnHfqRR3cPT3oLQJ46,,,,,,,,trackdone,trackdone,True,False,False,1761851041.0,False
2025-10-30T19:10:24Z,windows,164969,US,150.174.50.9,Really Knew,Charlene Nash,Asylum,spotify:track:7gcNerCZVuVfbbZvqX9Njq,,,,,,,,trackdone,trackdone,True,False,False,1761851258.0,False
2025-10-30T19:14:46Z,windows,261667,US,150.174.50.9,"I Can't Help It, I Feel Everything .",Charlene Nash,"I Can't Help It, I Feel Everything .",spotify:track:5kM0oFIBvmdw4QPfZ6oMd6,,,,,,,,trackdone,trackdone,True,False,False,1761851424.0,False
2025-10-30T19:18:30Z,windows,223880,US,150.174.50.9,Hostage,Charlene Nash,Asylum,spotify:track:1L0WJQ5y7hOGnHNOMHvzLx,,,,,,,,trackdone,trackdone,True,False,False,1761851687.0,False
2025-10-30T19:20:43Z,windows,131910,US,150.174.50.9,Following,Charlene Nash,@iamcharlenenash,spotify:track:7ft5JRlaIpcYUdCmKw6pqt,,,,,,,,trackdone,endplay,True,True,False,1761851910.0,False
2025-10-30T19:24:44Z,windows,240590,US,150.174.50.9,Mozart's Jupiter (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:6a2g0ctflK9cAhBdW7ebqH,,,,,,,,playbtn,trackdone,True,False,False,1761852043.0,False
2025-10-30T19:28:24Z,windows,219337,US,150.174.50.9,Mozart's Alla Turca (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:5102J4zDZFvHSByud3hASi,,,,,,,,trackdone,trackdone,True,False,False,1761852284.0,False
2025-10-30T19:31:59Z,windows,214669,US,150.174.50.9,Bach's Brandenburg Concerto No. 3 (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:7IL5pAGlv6ERSvPGDzKFP6,,,,,,,,trackdone,trackdone,True,False,False,1761852504.0,False
2025-10-30T19:36:09Z,windows,249810,US,150.174.50.9,Tchaikovsky's Swan Lake (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:73qqfhxeJxa0prFtRDBUqU,,,,,,,,trackdone,trackdone,True,False,False,1761852719.0,False
2025-10-30T19:40:22Z,windows,252518,US,150.174.50.9,Handel's Fireworks (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:1zB3zzvZwITVJOLw7C31QS,,,,,,,,trackdone,trackdone,True,False,False,1761852969.0,False
2025-10-30T19:44:04Z,windows,221168,US,150.174.50.9,Handel's Hallelujah (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:71Ov6lKW7KJh4HkR7osN7i,,,,,,,,trackdone,trackdone,True,False,False,1761853222.0,False
2025-10-30T19:48:00Z,windows,235730,US,216.12.56.78,Beethoven's Fate (Vuducru Remix),Vuducru,Classical Meets Beats - Workout Remix,spotify:track:0uRz8vcAzT45J8FrwASIms,,,,,,,,trackdone,trackdone,True,False,False,1761853444.0,False
